t=2026-01-10T16:52:15+0800 lvl=info msg="no configuration paths supplied"
t=2026-01-10T16:52:15+0800 lvl=info msg="using configuration at default config path" path="/Users/archerterminez/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-10T16:52:15+0800 lvl=info msg="open config file" path="/Users/archerterminez/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-10T20:43:46+0800 lvl=info msg="join connections" obj=join id=ac0a9188d91a l=[::1]:8000 r=136.158.57.244:15524
t=2026-01-10T20:43:59+0800 lvl=info msg="join connections" obj=join id=170202b039cd l=[::1]:8000 r=136.158.57.244:15929
t=2026-01-10T20:44:00+0800 lvl=info msg="join connections" obj=join id=72438261ddf3 l=[::1]:8000 r=136.158.57.244:15929
t=2026-01-10T20:44:01+0800 lvl=info msg="join connections" obj=join id=582821a8cb69 l=[::1]:8000 r=136.158.57.244:16013
t=2026-01-10T20:58:20+0800 lvl=info msg="join connections" obj=join id=560ea692c06f l=[::1]:8000 r=136.158.57.244:46827
t=2026-01-10T20:58:20+0800 lvl=info msg="join connections" obj=join id=faf8bdeb4d73 l=[::1]:8000 r=136.158.57.244:46827
t=2026-01-10T20:58:23+0800 lvl=info msg="join connections" obj=join id=ecfe3bc08254 l=[::1]:8000 r=136.158.57.244:46966
t=2026-01-10T20:58:23+0800 lvl=info msg="join connections" obj=join id=88a3c3628fe0 l=[::1]:8000 r=136.158.57.244:46966
t=2026-01-10T20:59:39+0800 lvl=info msg="join connections" obj=join id=e4011050eb11 l=[::1]:8000 r=136.158.57.244:49303
t=2026-01-10T21:00:42+0800 lvl=info msg="join connections" obj=join id=02fa948a160d l=[::1]:8000 r=136.158.57.244:51427
t=2026-01-10T21:00:48+0800 lvl=info msg="join connections" obj=join id=39faa530d1c0 l=[::1]:8000 r=136.158.57.244:51618
t=2026-01-10T21:01:26+0800 lvl=info msg="join connections" obj=join id=192ad31f7627 l=[::1]:8000 r=136.158.57.244:52722
t=2026-01-10T21:01:45+0800 lvl=info msg="join connections" obj=join id=a2e0105642c4 l=[::1]:8000 r=136.158.57.244:53416
t=2026-01-10T21:06:25+0800 lvl=info msg="join connections" obj=join id=2a6f8fe07157 l=[::1]:8000 r=136.158.57.244:63223
t=2026-01-10T21:06:25+0800 lvl=info msg="join connections" obj=join id=c3f7d5e473ed l=[::1]:8000 r=136.158.57.244:63229
t=2026-01-10T21:06:26+0800 lvl=info msg="join connections" obj=join id=1041d76f8a3d l=[::1]:8000 r=136.158.57.244:63229
t=2026-01-10T21:06:26+0800 lvl=info msg="join connections" obj=join id=6123f0a22484 l=[::1]:8000 r=136.158.57.244:63245
t=2026-01-10T21:06:27+0800 lvl=info msg="join connections" obj=join id=6cae4a204641 l=[::1]:8000 r=136.158.57.244:63245
t=2026-01-10T21:41:10+0800 lvl=info msg="join connections" obj=join id=d7a7bb7d39cb l=[::1]:8000 r=136.158.57.244:6859
t=2026-01-10T21:48:53+0800 lvl=info msg="join connections" obj=join id=f60ce0f4cc0d l=[::1]:8000 r=136.158.57.244:22551
t=2026-01-10T21:48:54+0800 lvl=info msg="join connections" obj=join id=4931ec39137c l=[::1]:8000 r=136.158.57.244:22551
t=2026-01-10T21:49:09+0800 lvl=info msg="join connections" obj=join id=c25e72782303 l=[::1]:8000 r=136.158.57.244:23119
t=2026-01-10T21:49:12+0800 lvl=info msg="join connections" obj=join id=cb8622546737 l=[::1]:8000 r=136.158.57.244:23232
t=2026-01-10T21:49:29+0800 lvl=info msg="join connections" obj=join id=0e1bcfd51c20 l=[::1]:8000 r=136.158.57.244:23742
t=2026-01-10T21:53:49+0800 lvl=info msg="join connections" obj=join id=f190344be98c l=[::1]:8000 r=136.158.57.244:32344
t=2026-01-10T21:53:49+0800 lvl=info msg="join connections" obj=join id=3f9015c5c359 l=[::1]:8000 r=136.158.57.244:32344
t=2026-01-10T21:54:07+0800 lvl=info msg="join connections" obj=join id=4dada79c346c l=[::1]:8000 r=136.158.57.244:32884
t=2026-01-10T22:05:12+0800 lvl=info msg="join connections" obj=join id=7af3d2c0722a l=[::1]:8000 r=136.158.57.244:56772
t=2026-01-10T22:05:13+0800 lvl=info msg="join connections" obj=join id=a54641b7cb98 l=[::1]:8000 r=136.158.57.244:56772
t=2026-01-10T22:05:19+0800 lvl=info msg="join connections" obj=join id=5e3702d7eaaa l=[::1]:8000 r=136.158.57.244:57194
t=2026-01-10T22:05:24+0800 lvl=info msg="join connections" obj=join id=fe2b85c9d9f7 l=[::1]:8000 r=136.158.57.244:57455
t=2026-01-10T22:05:28+0800 lvl=info msg="join connections" obj=join id=f2577a4127db l=[::1]:8000 r=136.158.57.244:57592
t=2026-01-10T22:05:32+0800 lvl=info msg="join connections" obj=join id=5b3db0a7b1e3 l=[::1]:8000 r=136.158.57.244:57826
t=2026-01-10T22:05:38+0800 lvl=info msg="join connections" obj=join id=d02ad5e0eaaf l=[::1]:8000 r=136.158.57.244:58161
t=2026-01-10T22:05:46+0800 lvl=info msg="join connections" obj=join id=4c2d8c3bb5e3 l=[::1]:8000 r=136.158.57.244:58501
t=2026-01-10T22:05:48+0800 lvl=info msg="join connections" obj=join id=7a57a8b68946 l=[::1]:8000 r=136.158.57.244:58661
t=2026-01-10T22:05:55+0800 lvl=info msg="join connections" obj=join id=961e67453849 l=[::1]:8000 r=136.158.57.244:59042
t=2026-01-10T22:05:58+0800 lvl=info msg="join connections" obj=join id=d7e4643cf468 l=[::1]:8000 r=136.158.57.244:59135
t=2026-01-10T22:05:59+0800 lvl=info msg="join connections" obj=join id=5e568881b619 l=[::1]:8000 r=136.158.57.244:59135
t=2026-01-10T22:06:45+0800 lvl=info msg="join connections" obj=join id=32b2ae923ab1 l=[::1]:8000 r=136.158.57.244:61067
t=2026-01-10T22:06:48+0800 lvl=info msg="join connections" obj=join id=e4051e5d2f91 l=[::1]:8000 r=136.158.57.244:61067
t=2026-01-10T22:06:49+0800 lvl=info msg="join connections" obj=join id=ff36f18b16bf l=[::1]:8000 r=136.158.57.244:61207
t=2026-01-10T22:07:01+0800 lvl=info msg="join connections" obj=join id=c25b8502561f l=[::1]:8000 r=136.158.57.244:61826
t=2026-01-10T22:08:42+0800 lvl=info msg="join connections" obj=join id=cd76b8be3a8b l=[::1]:8000 r=136.158.57.244:368
t=2026-01-10T22:08:42+0800 lvl=info msg="join connections" obj=join id=0d638b6eb8fc l=[::1]:8000 r=136.158.57.244:368
t=2026-01-10T22:08:59+0800 lvl=info msg="join connections" obj=join id=f63e81c2de80 l=[::1]:8000 r=136.158.57.244:839
t=2026-01-10T22:09:21+0800 lvl=info msg="join connections" obj=join id=1a4fc05c6d86 l=[::1]:8000 r=136.158.57.244:1559
t=2026-01-10T22:11:21+0800 lvl=info msg="join connections" obj=join id=130f3176e83b l=[::1]:8000 r=136.158.57.244:6293
t=2026-01-10T22:11:22+0800 lvl=info msg="join connections" obj=join id=b35e0c39c3b8 l=[::1]:8000 r=136.158.57.244:6433
t=2026-01-10T22:11:59+0800 lvl=info msg="join connections" obj=join id=82d3d577eba5 l=[::1]:8000 r=136.158.57.244:7959
t=2026-01-10T22:12:02+0800 lvl=info msg="join connections" obj=join id=1c87cb3b62b5 l=[::1]:8000 r=136.158.57.244:8052
t=2026-01-10T22:12:03+0800 lvl=info msg="join connections" obj=join id=737d8637f255 l=[::1]:8000 r=136.158.57.244:8052
